id_vendedor;nombre_vendedor;linea_negocio;zona;fecha_ingreso;meta_anual_clp;estado
V001;Marcela Fuentealba Rojas;EXPORTACION;ASIA;2016-03-01;7500000000;ACTIVO
V002;Ignacio Sepulveda Miranda;EXPORTACION;EUROPA;2018-07-15;7500000000;ACTIVO
V003;Carolina Aravena Nunez;EXPORTACION;NORTEAMERICA;2019-01-07;7500000000;ACTIVO
V004;Patricio Neira Contreras;EXPORTACION;LATAM;2021-04-19;7500000000;ACTIVO
V005;Daniela Riquelme Soto;FOODSERVICE;ZONA_CENTRO;2017-09-04;2800000000;ACTIVO
V006;Jorge Villablanca Pino;FOODSERVICE;ZONA_SUR;2015-11-23;2800000000;ACTIVO
V007;Rodrigo Alarcon Bustos;FOODSERVICE;ZONA_NORTE;2022-02-14;2800000000;ACTIVO
V008;Camila Ortiz Lagos;FOODSERVICE;ZONA_CENTRO;2020-06-08;2800000000;ACTIVO
V009;Felipe Cardenas Vera;RETAIL;ZONA_CENTRO;2018-10-01;1900000000;ACTIVO
V010;Andrea Molina Espinoza;RETAIL;ZONA_SUR;2019-08-12;1900000000;ACTIVO
V011;Sebastian Quilodran Diaz;RETAIL;ZONA_NORTE;2021-03-22;1900000000;ACTIVO
V012;Valentina Herrera Munoz;RETAIL;ZONA_CENTRO;2023-01-16;1900000000;ACTIVO
