id_gestion;id_documento;fecha_gestion;tipo_gestion;resultado;ejecutivo_cobranza
GES-000798;DOC-2024-01960;2024-02-26;LLAMADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000342;DOC-2024-00846;2024-03-05;LLAMADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000276;DOC-2024-00573;2024-03-07;EMAIL;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000659;DOC-2024-01583;2024-03-08;LLAMADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000562;DOC-2024-00854;2024-03-13;LLAMADA;PAGO_PARCIAL;Paula Zambrano Leiva
GES-000596;DOC-2024-00509;2024-03-27;LLAMADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000928;DOC-2024-01834;2024-03-27;EMAIL;PAGO_PARCIAL;Cristian Bravo Aguilera
GES-000835;DOC-2024-00098;2024-03-31;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000472;DOC-2024-00947;2024-04-08;EMAIL;SIN_RESPUESTA;Nataly Poblete Ruiz
GES-000851;DOC-2024-01822;2024-04-19;EMAIL;COMPROMISO_PAGO;Hector Manriquez Salas
GES-000685;DOC-2024-01544;2024-04-24;EMAIL;COMPROMISO_PAGO;Paula Zambrano Leiva
GES-000563;DOC-2024-00854;2024-04-29;CARTA_CERTIFICADA;INCOBRABLE_DECLARADO;Paula Zambrano Leiva
GES-000799;DOC-2024-01960;2024-05-01;EMAIL;SIN_RESPUESTA;Hector Manriquez Salas
GES-000613;DOC-2024-01609;2024-05-02;EMAIL;SIN_RESPUESTA;Ximena Toro Pacheco
GES-001008;DOC-2024-00535;2024-05-03;EMAIL;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000277;DOC-2024-00573;2024-05-11;CARTA_CERTIFICADA;COMPROMISO_PAGO;Cristian Bravo Aguilera
GES-000588;DOC-2024-01400;2024-05-12;LLAMADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000149;DOC-2024-00481;2024-05-13;EMAIL;INCOBRABLE_DECLARADO;Hector Manriquez Salas
GES-000686;DOC-2024-01544;2024-05-15;CARTA_CERTIFICADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000698;DOC-2024-01434;2024-05-17;LLAMADA;SIN_RESPUESTA;Nataly Poblete Ruiz
GES-000660;DOC-2024-01583;2024-05-19;EMAIL;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000925;DOC-2024-00681;2024-05-23;EMAIL;PAGO_PARCIAL;Nataly Poblete Ruiz
GES-001009;DOC-2024-00535;2024-05-24;CARTA_CERTIFICADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000190;DOC-2024-00857;2024-05-25;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000981;DOC-2024-01408;2024-05-26;EMAIL;COMPROMISO_PAGO;Hector Manriquez Salas
GES-000577;DOC-2024-00793;2024-05-27;EMAIL;SIN_RESPUESTA;Ximena Toro Pacheco
